Device Active,Location Active,Address,City,State,Zip,Serial Number,First EOD Date,Dispenses,Acceptance,BNR_Total,Dispense_Rate,Acceptance_Rate,BNR_Rate,Days Active,Wear Rate,Maintenance Flag
1,1,30186 Pedro Courts,West Lynnfort,AZ,61451,FAKE000000,6/30/2021,3809410,4793287,8602697,2660.14,3347.19,6007.34,1450,5928.805651274983,True
1,1,417 Nicole Roads,Michellefurt,MT,27537,FAKE000001,12/5/2020,5115188,5104496,10219684,3120.76,3114.24,6235.0,1657,6163.862484921592,True
1,1,7981 Donald Key Suite 291,Sherryfort,KS,50240,FAKE000002,6/14/2019,4692512,2526761,7219273,2153.46,1159.57,3313.02,2197,3284.473612374886,True
1,1,2616 Fox Islands,Middletonborough,NC,16233,FAKE000003,4/11/2023,6792220,4309952,11102172,8679.01,5507.2,14186.22,800,13860.389513108614,True
1,1,54874 Tara Knolls,West Danielle,MA,44455,FAKE000004,1/9/2019,4058342,5187483,9245825,1738.03,2221.59,3959.62,2353,3927.7081563296515,True
1,1,2030 David Viaduct Apt. 212,Woodardchester,UT,32754,FAKE000005,5/18/2020,1906978,3457112,5364090,1036.03,1878.19,2914.22,1858,2885.470683162991,True
1,1,259 Gordon Wells Apt. 152,Heatherside,KY,37305,FAKE000006,5/28/2022,5235245,2317354,7552599,4755.28,2104.9,6860.18,1118,6749.418230563003,True
1,1,258 Lynn Prairie Suite 728,Christophertown,GA,877,FAKE000007,2/21/2021,6372156,1212193,7584349,4080.65,776.27,4856.93,1579,4800.220886075949,True
1,1,73216 Nelson Island Apt. 241,Hooverfort,SC,64115,FAKE000008,2/22/2023,5740240,5310847,11051087,6915.68,6398.36,13314.03,848,13016.59246171967,True
1,1,3880 John Trace,Bondchester,PA,18627,FAKE000009,7/15/2019,3441575,5643477,9085052,1601.51,2626.15,4227.65,2166,4192.455929856945,True
1,1,8644 Kenneth Terrace Suite 148,Kristinchester,AZ,6362,FAKE000010,2/18/2022,6079950,5290356,11370306,5068.98,4410.68,9479.67,1217,9335.226600985221,True
1,1,213 Alex Well Apt. 475,Lake Laurenchester,NE,49358,FAKE000011,10/28/2022,6197003,6691811,12888814,6539.02,7061.13,13600.15,965,13342.457556935819,True
1,1,5924 Michelle Mills,Fosterstad,VA,43979,FAKE000012,11/9/2019,4154547,6481792,10636339,2045.27,3190.97,5236.24,2049,5188.458048780488,True
1,1,883 Michelle Parkways Suite 810,Joannfort,GA,1471,FAKE000013,8/22/2019,6952890,4411009,11363899,3294.19,2089.88,5384.08,2128,5337.669798027243,True
1,1,12138 Nancy Ford,Lonnieborough,TX,96400,FAKE000014,7/17/2018,5588039,3801902,9389941,2224.55,1513.51,3738.06,2529,3711.439130434783,True
1,1,445 Victoria Views Suite 391,South Jenniferview,KS,42406,FAKE000015,7/15/2022,3779097,1607247,5386344,3590.28,1526.94,5117.23,1070,5029.266106442577,True
1,1,8978 Valenzuela Overpass,Cunninghamfurt,NJ,67710,FAKE000016,4/19/2019,6112193,3280077,9392270,2734.02,1467.2,4201.21,2253,4166.934338952972,True
1,1,08141 Melissa Avenue Apt. 181,Tiffanyfort,HI,89911,FAKE000017,5/20/2021,6336411,4442722,10779133,4298.82,3014.08,7312.9,1491,7224.619973190349,True
1,1,73928 Anne Manors,North Ritaport,UT,74894,FAKE000018,4/12/2020,4838225,4608014,9446239,2578.69,2455.99,5034.68,1894,4984.822691292876,True
1,1,3989 Karina Stravenue Suite 963,West Rhonda,ND,11437,FAKE000019,12/13/2023,2723395,1098872,3822267,5077.83,2048.87,7126.7,554,6886.967567567567,True
1,1,20603 Smith Mountains,Olsenshire,ID,8405,FAKE000020,2/9/2021,2855646,6362540,9218186,1814.94,4043.79,5858.73,1591,5790.31783919598,True
1,1,3144 Adams Via Suite 601,South Amanda,ID,16346,FAKE000021,8/7/2022,2780960,3944116,6725076,2700.52,3830.03,6530.55,1047,6417.057251908397,True
1,1,678 Fisher Trace,Melendezport,NV,77328,FAKE000022,5/1/2018,5345685,6463053,11808738,2065.09,2496.74,4561.82,2606,4529.627157652474,True
1,1,7712 Cristina Village Apt. 201,West Victormouth,AK,94733,FAKE000023,10/29/2020,5263555,1367401,6630956,3139.65,815.64,3955.28,1694,3912.0684365781713,True
1,1,874 Flores Knolls,Andrealand,IL,95453,FAKE000024,9/8/2021,6419364,3054368,9473732,4710.73,2241.39,6952.12,1380,6860.052136133237,True
1,1,3186 Smith Oval,South Jacqueline,MI,30134,FAKE000025,3/26/2018,3877960,5114077,8992037,1477.78,1948.83,3426.62,2642,3402.2084752175556,True
1,1,21266 Bobby Plains,Sancheztown,MA,20048,FAKE000026,2/9/2022,4069597,4773004,8842601,3367.3,3949.32,7316.63,1226,7206.683781581092,True
1,1,381 Richardson Trail Apt. 742,Port Raymondmouth,WI,6551,FAKE000027,6/6/2021,3303992,5387822,8691814,2268.2,3698.75,5966.95,1474,5892.755254237288,True
1,1,5522 Roberson Walk,Port April,ID,79618,FAKE000028,12/25/2020,2024518,4655834,6680352,1250.46,2875.72,4126.18,1637,4078.358974358974,True
1,1,00853 Christopher Ramp,East Margaret,VT,72543,FAKE000029,8/25/2019,6158766,3894933,10053699,2923.0,1848.57,4771.57,2125,4728.927093132644,True
1,1,446 Juarez Alley,Hayesberg,WI,34154,FAKE000030,11/16/2022,5725700,4851825,10577525,6166.33,5225.21,11391.54,946,11169.508975712777,True
1,1,71348 Hensley Loaf,New Suzanne,SC,29400,FAKE000031,7/15/2019,2687894,4001277,6689171,1250.79,1861.96,3112.75,2166,3086.8347946469776,True
1,1,42977 Tucker Path,Andersonfort,WA,13107,FAKE000032,7/22/2018,1789172,3713126,5502298,713.81,1481.39,2195.2,2524,2179.1279207920793,True
1,1,9552 Gonzales Grove Suite 989,East Sophiafurt,SC,69492,FAKE000033,1/28/2023,5969879,4123747,10093626,6977.64,4819.87,11797.51,873,11548.771167048055,True
1,1,376 Smith Point Apt. 095,Chadburgh,WY,59160,FAKE000034,11/16/2020,6197460,4873344,11070804,3737.38,2938.87,6676.25,1676,6601.552772808587,True
1,1,9204 Chelsea Falls,Port Leon,MD,23359,FAKE000035,5/25/2019,3308662,6591249,9899911,1504.54,2997.21,4501.75,2217,4463.4404869251575,True
1,1,0666 Reyes Key,Port Christineshire,TN,90450,FAKE000036,10/14/2021,2355642,6266342,8621984,1776.2,4724.94,6501.14,1344,6410.397026022305,True
1,1,380 Jones Pine,North Timothyshire,UT,85273,FAKE000037,6/29/2020,6147399,2612484,8759883,3417.68,1452.43,4870.11,1816,4821.069345074298,True
1,1,4116 Burgess Island Suite 436,New Deanmouth,MD,33721,FAKE000038,2/25/2019,5473911,3308379,8782290,2391.91,1445.65,3837.55,2306,3806.801040312094,True
1,1,4126 Atkins Highway,Dorisbury,CO,88360,FAKE000039,6/12/2020,1698422,5259958,6958380,935.71,2897.85,3833.56,1833,3794.1003271537625,True
1,1,563 Young Unions Suite 852,Jenkinsmouth,DC,86522,FAKE000040,1/6/2019,3145405,4851241,7996646,1344.95,2074.35,3419.3,2356,3392.722104369962,True
1,1,75605 Elizabeth Light Apt. 831,Dannychester,MA,12863,FAKE000041,10/28/2018,1967909,5539231,7507140,816.93,2299.47,3116.4,2426,3093.176761433869,True
1,1,84514 Cody Cape Apt. 277,Rosalesbury,AK,48331,FAKE000042,8/10/2018,5153101,5373884,10526985,2071.72,2160.48,4232.2,2505,4200.712290502794,True
1,1,5436 Stacy Spurs,Lauraborough,ME,11122,FAKE000043,2/16/2022,3530046,1945805,5475851,2938.61,1619.8,4558.4,1219,4488.402459016394,True
1,1,28135 Shannon Landing Suite 221,Port Williamland,MD,18792,FAKE000044,5/5/2021,1748817,3507396,5256213,1174.82,2356.2,3531.02,1506,3487.8652952886528,True
1,1,5444 Franco Terrace Apt. 773,Davidport,MD,4819,FAKE000045,3/7/2018,4920265,6184920,11105185,1861.39,2339.82,4201.21,2661,4171.744928625094,True
1,1,958 Johnson Mountain,South Tiffany,ND,92015,FAKE000046,4/20/2023,5114874,2331054,7445928,6612.79,3013.72,9626.51,791,9401.424242424242,True
1,1,309 Mcdonald Viaduct Suite 364,Allenborough,ME,8059,FAKE000047,10/15/2020,4166216,1449811,5616027,2464.98,857.79,3322.77,1708,3286.1480397893506,True
1,1,908 Melissa Locks Suite 710,Aliceview,NM,13635,FAKE000048,3/4/2019,2001163,3077598,5078761,877.24,1349.1,2226.34,2299,2208.156956521739,True
1,1,90457 Leon Land,Osbornemouth,MT,64716,FAKE000049,12/17/2022,3753116,2554782,6307898,4181.61,2846.46,7028.07,915,6886.35152838428,True
1,1,43825 Erin Valley,Paulaville,DC,33149,FAKE000050,5/19/2023,2741618,6054492,8796110,3683.52,8134.55,11818.06,762,11528.322411533421,True
1,1,01708 Joseph Forks Suite 955,East Michael,ID,31184,FAKE000051,12/9/2021,6224657,3456891,9681548,4899.04,2720.7,7619.75,1288,7510.898370830101,True
1,1,46865 Ortiz Mission Suite 896,New Kyle,NJ,32993,FAKE000052,6/24/2020,1234540,5362526,6597066,684.61,2973.79,3658.4,1821,3620.7826564215147,True
1,1,107 Todd Knoll,Allisonfurt,MN,81638,FAKE000053,9/7/2018,1924608,5484984,7409592,782.65,2230.5,3013.16,2477,2990.1501210653755,True
1,1,27578 Taylor Camp,Port Charlestown,KY,1102,FAKE000054,5/26/2018,6235327,5341826,11577153,2431.9,2083.42,4515.32,2581,4483.792796281952,True
1,1,027 Buck Lights Apt. 945,Stoneland,RI,4105,FAKE000055,9/25/2023,3933731,1371364,5305095,6389.2,2227.38,8616.58,633,8367.657728706625,True
1,1,414 Travis Rue Suite 976,New Tammie,KY,32683,FAKE000056,1/6/2021,5051081,5208132,10259213,3142.86,3240.58,6383.45,1625,6309.479089790898,True
1,1,9787 Shaffer Island Suite 900,Millerside,GA,11535,FAKE000057,11/12/2020,6482813,4200532,10683345,3898.74,2526.18,6424.92,1680,6355.350981558596,True
1,1,58268 Jacobson Plain Suite 717,West Pamela,KS,98413,FAKE000058,4/13/2019,6913228,3445978,10359206,3084.77,1537.64,4622.41,2259,4583.719469026549,True
1,1,19670 Michael Skyway Apt. 205,Wrightfort,VT,21453,FAKE000059,9/28/2023,6661777,1279450,7941227,10868.41,2087.37,12955.78,630,12585.145800316957,True
1,1,4079 White Streets,East Samantha,LA,23273,FAKE000060,3/30/2020,2988315,1908522,4896837,1581.95,1010.33,2592.28,1907,2566.4764150943397,True
1,1,554 Salazar Track Suite 033,New Andrewton,VT,76533,FAKE000061,10/3/2019,2725506,3376398,6101904,1317.5,1632.14,2949.64,2086,2923.76808816483,True
1,1,36607 Christina Center Apt. 139,South Kristina,CO,45051,FAKE000062,5/12/2023,5267799,2280265,7548064,7008.87,3033.92,10042.79,769,9802.68051948052,True
1,1,89183 Norton Roads Apt. 495,Port Jennifer,MN,18032,FAKE000063,5/6/2023,6907830,4070210,10978040,9113.53,5369.84,14483.37,775,14146.958762886597,True
1,1,749 Elliott Street Apt. 061,East Andreton,KY,68457,FAKE000064,4/22/2018,1266593,3754635,5021228,487.58,1445.36,1932.94,2615,1919.4296636085626,True
1,1,2875 Strong Meadows,East Bonnieberg,IA,15316,FAKE000065,9/6/2023,5032293,2403233,7435526,7926.88,3785.58,11712.46,652,11386.716692189893,True
1,1,08285 Richard Plaza,Lake Jordan,VA,54351,FAKE000066,5/21/2020,2921365,2956375,5877740,1590.28,1609.34,3199.62,1855,3166.885775862069,True
1,1,42410 Rodriguez Knolls Suite 524,South Frank,TN,93248,FAKE000067,10/11/2021,4556320,6384734,10941054,3426.13,4801.0,8227.13,1347,8116.508902077151,True
1,1,11548 Johnson Row Apt. 315,Lake Sarahview,AL,3412,FAKE000068,7/19/2018,1928716,6818419,8747135,768.64,2717.32,3485.96,2527,3460.1008702531644,True
1,1,14819 Justin Ridges,East Ethan,VT,81611,FAKE000069,10/23/2020,4122689,6643862,10766551,2449.8,3947.95,6397.75,1700,6329.54203409759,True
1,1,2898 Madden Stravenue,Jocelynmouth,WI,78762,FAKE000070,4/18/2021,1113764,4797795,5911559,740.04,3187.9,3927.94,1523,3878.975721784777,True
1,1,2383 Knight Green,Elizabethberg,NH,92864,FAKE000071,8/24/2018,6583295,4279390,10862685,2661.34,1729.97,4391.32,2491,4359.022873194222,True
1,1,22997 Barry Divide,East Edwardland,TX,60155,FAKE000072,1/6/2023,2737567,6595709,9333276,3119.87,7516.79,10636.66,895,10416.60267857143,True
1,1,5173 Elizabeth Tunnel,Smithburgh,LA,95074,FAKE000073,12/13/2022,2471127,3360152,5831279,2742.11,3728.62,6470.73,919,6338.346739130435,True
1,1,4022 Matthew Route,Henryfurt,WI,99205,FAKE000074,4/18/2018,2429489,2717759,5147248,933.93,1044.74,1978.67,2619,1964.5984732824427,True
1,1,386 Calvin Dale,Jeremyview,OH,44067,FAKE000075,9/3/2022,4983656,2228084,7211740,4971.61,2222.7,7194.3,1020,7063.4084231145935,True
